y,g_hat,dg_hat
-7.969999999999999307e-01,-3.124306061701165871e-01,-2.573112919698445467e+00
-7.960000000000000409e-01,-3.150063910412271295e-01,-2.578421243039684896e+00
-7.949999999999999289e-01,-3.175874486561959809e-01,-2.583658408581925414e+00
-7.940000000000000391e-01,-3.201737078583909435e-01,-2.588824418820991013e+00
-7.929999999999999272e-01,-3.227650974938380268e-01,-2.593919276575974209e+00
-7.920000000000000373e-01,-3.253615464115429123e-01,-2.598942984997250960e+00
-7.910000000000000364e-01,-3.279629834638322361e-01,-2.603895547577309344e+00
-7.900000000000000355e-01,-3.305693375066975359e-01,-2.608776968161038212e+00
-7.890000000000000346e-01,-3.331805374001542974e-01,-2.613587250954850560e+00
-7.880000000000000338e-01,-3.357965120086072175e-01,-2.618326400535750054e+00
-7.870000000000000329e-01,-3.384171902012258482e-01,-2.622994421862699710e+00
-7.860000000000000320e-01,-3.410425008523326196e-01,-2.627591320284921039e+00
-7.850000000000000311e-01,-3.436723728417956925e-01,-2.632117101550363714e+00
-7.840000000000000302e-01,-3.463067350554333568e-01,-2.636571771817074250e+00
-7.830000000000000293e-01,-3.489455163854298103e-01,-2.640955337661154090e+00
-7.820000000000000284e-01,-3.515886457307557111e-01,-2.645267806085797702e+00
-7.810000000000000275e-01,-3.542360519976014421e-01,-2.649509184530415951e+00
-7.800000000000000266e-01,-3.568876640998165373e-01,-2.653679480879759467e+00
-7.790000000000000258e-01,-3.595434109593609318e-01,-2.657778703473127280e+00
-7.780000000000000249e-01,-3.622032215067627625e-01,-2.661806861111983835e+00
-7.770000000000000240e-01,-3.648670246815849394e-01,-2.665763963069508691e+00
-7.760000000000000231e-01,-3.675347494329018194e-01,-2.669650019099066185e+00
-7.750000000000000222e-01,-3.702063247197830420e-01,-2.673465039442248781e+00
-7.740000000000000213e-01,-3.728816795117863014e-01,-2.677209034837574109e+00
-7.730000000000000204e-01,-3.755607427894582240e-01,-2.680882016528698841e+00
-7.720000000000000195e-01,-3.782434435448437382e-01,-2.684483996272689410e+00
-7.710000000000000187e-01,-3.809297107820036055e-01,-2.688014986348065349e+00
-7.700000000000000178e-01,-3.836194735175398329e-01,-2.691474999562586845e+00
-7.690000000000000169e-01,-3.863126607811288027e-01,-2.694864049261894934e+00
-7.680000000000000160e-01,-3.890092016160636712e-01,-2.698182149336673774e+00
-7.670000000000000151e-01,-3.917090250798021533e-01,-2.701429314230580303e+00
-7.660000000000000142e-01,-3.944120602445247981e-01,-2.704605558948316002e+00
-7.650000000000000133e-01,-3.971182361976987596e-01,-2.707710899062448107e+00
-7.640000000000000124e-01,-3.998274820426497289e-01,-2.710745350721765590e+00
-7.630000000000000115e-01,-4.025397268991423028e-01,-2.713708930658299323e+00
-7.620000000000000107e-01,-4.052548999039663480e-01,-2.716601656194825409e+00
-7.610000000000000098e-01,-4.079729302115319700e-01,-2.719423545251800078e+00
-7.600000000000000089e-01,-4.106937469944699215e-01,-2.722174616354664067e+00
-7.590000000000000080e-01,-4.134172794442412813e-01,-2.724854888641516482e+00
-7.580000000000000071e-01,-4.161434567717529620e-01,-2.727464381869197041e+00
-7.570000000000000062e-01,-4.188722082079797127e-01,-2.730003116421045206e+00
-7.560000000000000053e-01,-4.216034630045950582e-01,-2.732471113313380329e+00
-7.550000000000000044e-01,-4.243371504346064582e-01,-2.734868394201782849e+00
-7.540000000000000036e-01,-4.270731997929986257e-01,-2.737194981389052373e+00
-7.530000000000000027e-01,-4.298115403973845616e-01,-2.739450897830892018e+00
-7.520000000000000018e-01,-4.325521015886604204e-01,-2.741636167142274871e+00
-7.510000000000000009e-01,-4.352948127316691451e-01,-2.743750813604520999e+00
-7.500000000000000000e-01,-4.380396032158694886e-01,-2.745794862171607065e+00
-7.489999999999999991e-01,-4.407864024560123606e-01,-2.747768338476021199e+00
-7.479999999999999982e-01,-4.435351398928215061e-01,-2.749671268835243154e+00
-7.469999999999999973e-01,-4.462857449936828425e-01,-2.751503680258224449e+00
-7.459999999999999964e-01,-4.490381472533379603e-01,-2.753265600450845341e+00
-7.449999999999999956e-01,-4.517922761945845633e-01,-2.754957057822338129e+00
-7.439999999999999947e-01,-4.545480613689826810e-01,-2.756578081491227294e+00
-7.429999999999999938e-01,-4.573054323575669877e-01,-2.758128701290473828e+00
-7.419999999999999929e-01,-4.600643187715636184e-01,-2.759608947774097487e+00
-7.409999999999999920e-01,-4.628246502531151996e-01,-2.761018852223173781e+00
-7.399999999999999911e-01,-4.655863564760099327e-01,-2.762358446650040378e+00
-7.389999999999999902e-01,-4.683493671464152852e-01,-2.763627763804777260e+00
-7.379999999999999893e-01,-4.711136120036195085e-01,-2.764826837180606844e+00
-7.369999999999999885e-01,-4.738790208207764865e-01,-2.765955701019436219e+00
-7.359999999999999876e-01,-4.766455234056584112e-01,-2.767014390317143580e+00
-7.349999999999999867e-01,-4.794130496014107901e-01,-2.768002940827756220e+00
-7.339999999999999858e-01,-4.821815292873138925e-01,-2.768921389070072792e+00
-7.329999999999999849e-01,-4.849508923795509685e-01,-2.769769772332807634e+00
-7.319999999999999840e-01,-4.877210688319795207e-01,-2.770548128678200328e+00
-7.309999999999999831e-01,-4.904919886369073501e-01,-2.771256496948012682e+00
-7.299999999999999822e-01,-4.932635818258755411e-01,-2.771894916768360417e+00
-7.289999999999999813e-01,-4.960357784704440554e-01,-2.772463428554601705e+00
-7.279999999999999805e-01,-4.988085086829847636e-01,-2.772962073515572001e+00
-7.269999999999999796e-01,-5.015817026174752558e-01,-2.773390893658955747e+00
-7.259999999999999787e-01,-5.043552904703026973e-01,-2.773749931794981194e+00
-7.249999999999999778e-01,-5.071292024810651888e-01,-2.774039231541678419e+00
-7.239999999999999769e-01,-5.099033689333860586e-01,-2.774258837329796279e+00
-7.229999999999999760e-01,-5.126777201557247698e-01,-2.774408794405985645e+00
-7.219999999999999751e-01,-5.154521865221980415e-01,-2.774489148838028996e+00
-7.209999999999999742e-01,-5.182266984534008580e-01,-2.774499947518677345e+00
-7.199999999999999734e-01,-5.210011864172353624e-01,-2.774441238170197721e+00
-7.189999999999999725e-01,-5.237755809297413023e-01,-2.774313069348465888e+00
-7.179999999999999716e-01,-5.265498125559323617e-01,-2.774115490446718013e+00
-7.169999999999999707e-01,-5.293238119106347117e-01,-2.773848551699245490e+00
-7.159999999999999698e-01,-5.320975096593307807e-01,-2.773512304187022437e+00
-7.149999999999999689e-01,-5.348708365190087966e-01,-2.773106799839581527e+00
-7.139999999999999680e-01,-5.376437232590099979e-01,-2.772632091439390933e+00
-7.129999999999999671e-01,-5.404161007018875029e-01,-2.772088232627027082e+00
-7.119999999999999662e-01,-5.431878997242640672e-01,-2.771475277902425205e+00
-7.110000000000000764e-01,-5.459590512576921739e-01,-2.770793282630279464e+00
-7.099999999999999645e-01,-5.487294862895246705e-01,-2.770042303043396714e+00
-7.090000000000000746e-01,-5.514991358637788554e-01,-2.769222396244856554e+00
-7.079999999999999627e-01,-5.542679310820144423e-01,-2.768333620213581980e+00
-7.070000000000000728e-01,-5.570358031042058622e-01,-2.767376033805760471e+00
-7.059999999999999609e-01,-5.598026831496260014e-01,-2.766349696759277776e+00
-7.050000000000000711e-01,-5.625685024977243875e-01,-2.765254669696901146e+00
-7.039999999999999591e-01,-5.653331924890198090e-01,-2.764091014128268853e+00
-7.030000000000000693e-01,-5.680966845259808329e-01,-2.762858792454380819e+00
-7.019999999999999574e-01,-5.708589100739286382e-01,-2.761558067971066066e+00
-7.010000000000000675e-01,-5.736198006619228629e-01,-2.760188904869210091e+00
-6.999999999999999556e-01,-5.763792878836671019e-01,-2.758751368241178170e+00
-6.990000000000000657e-01,-5.791373033984051899e-01,-2.757245524081383792e+00
-6.979999999999999538e-01,-5.818937789318299192e-01,-2.755671439289926639e+00
-6.970000000000000639e-01,-5.846486462769849846e-01,-2.754029181674923166e+00
-6.959999999999999520e-01,-5.874018372951798073e-01,-2.752318819956030893e+00
-6.950000000000000622e-01,-5.901532839168970312e-01,-2.750540423766096865e+00
-6.939999999999999503e-01,-5.929029181427121209e-01,-2.748694063654454567e+00
-6.930000000000000604e-01,-5.956506720442058533e-01,-2.746779811088174483e+00
-6.919999999999999485e-01,-5.983964777648884681e-01,-2.744797738457350533e+00
-6.910000000000000586e-01,-6.011402675211204860e-01,-2.742747919073849516e+00
-6.899999999999999467e-01,-6.038819736030363039e-01,-2.740630427176483863e+00
-6.890000000000000568e-01,-6.066215283754733401e-01,-2.738445337932262191e+00
-6.879999999999999449e-01,-6.093588642789008469e-01,-2.736192727438094607e+00
-6.870000000000000551e-01,-6.120939138303495008e-01,-2.733872672723578034e+00
-6.859999999999999432e-01,-6.148266096243479861e-01,-2.731485251753440480e+00
-6.850000000000000533e-01,-6.175568843338563596e-01,-2.729030543428791589e+00
-6.839999999999999414e-01,-6.202846707112057434e-01,-2.726508627590135347e+00
-6.830000000000000515e-01,-6.230099015890365743e-01,-2.723919585018109046e+00
-6.819999999999999396e-01,-6.257325098812419606e-01,-2.721263497435813861e+00
-6.810000000000000497e-01,-6.284524285839081514e-01,-2.718540447511429647e+00
-6.799999999999999378e-01,-6.311695907762647773e-01,-2.715750518859067597e+00
-6.790000000000000480e-01,-6.338839296216263186e-01,-2.712893796041043970e+00
-6.779999999999999361e-01,-6.365953783683470091e-01,-2.709970364569699086e+00
-6.770000000000000462e-01,-6.393038703507656351e-01,-2.706980310907283638e+00
-6.759999999999999343e-01,-6.420093389901617709e-01,-2.703923722470165103e+00
-6.750000000000000444e-01,-6.447117177957059075e-01,-2.700800687628770902e+00
-6.739999999999999325e-01,-6.474109403654194628e-01,-2.697611295710089507e+00
-6.730000000000000426e-01,-6.501069403871260199e-01,-2.694355636996590420e+00
-6.719999999999999307e-01,-6.527996516394127813e-01,-2.691033802730942170e+00
-6.710000000000000409e-01,-6.554890079925879132e-01,-2.687645885115728106e+00
-6.699999999999999289e-01,-6.581749434096442197e-01,-2.684191977313503230e+00
-6.690000000000000391e-01,-6.608573919472148228e-01,-2.680672173449977436e+00
-6.679999999999999272e-01,-6.635362877565443851e-01,-2.677086568615152373e+00
-6.670000000000000373e-01,-6.662115650844451231e-01,-2.673435258862468800e+00
-6.659999999999999254e-01,-6.688831582742694737e-01,-2.669718341211989809e+00
-6.650000000000000355e-01,-6.715510017668691045e-01,-2.665935913649263966e+00
-6.639999999999999236e-01,-6.742150301015681357e-01,-2.662088075129361187e+00
-6.630000000000000338e-01,-6.768751779171278127e-01,-2.658174925574826375e+00
-6.619999999999999218e-01,-6.795313799527178400e-01,-2.654196565877271041e+00
-6.610000000000000320e-01,-6.821835710488822757e-01,-2.650153097899305976e+00
-6.599999999999999201e-01,-6.848316861485165274e-01,-2.646044624474370721e+00
-6.590000000000000302e-01,-6.874756602978309150e-01,-2.641871249407188316e+00
-6.579999999999999183e-01,-6.901154286473309973e-01,-2.637633077475982191e+00
-6.570000000000000284e-01,-6.927509264527829114e-01,-2.633330214430657179e+00
-6.559999999999999165e-01,-6.953820890761923668e-01,-2.628962766995357470e+00
-6.550000000000000266e-01,-6.980088519867735375e-01,-2.624530842868182390e+00
-6.539999999999999147e-01,-7.006311507619287227e-01,-2.620034550721641153e+00
-6.530000000000000249e-01,-7.032489210882167940e-01,-2.615474000203505511e+00
-6.519999999999999130e-01,-7.058620987623358545e-01,-2.610849301937150813e+00
-6.510000000000000231e-01,-7.084706196920910193e-01,-2.606160567520646509e+00
-6.499999999999999112e-01,-7.110744198973772967e-01,-2.601407909529086737e+00
-6.490000000000000213e-01,-7.136734355111491457e-01,-2.596591441512941856e+00
-6.480000000000000204e-01,-7.162676027804028012e-01,-2.591711277999536378e+00
-6.470000000000000195e-01,-7.188568580671482744e-01,-2.586767534492878440e+00
-6.460000000000000187e-01,-7.214411378493885696e-01,-2.581760327472863992e+00
-6.450000000000000178e-01,-7.240203787220940157e-01,-2.576689774397380006e+00
-6.440000000000000169e-01,-7.265945173981833705e-01,-2.571555993700314957e+00
